"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"07.01.2023 07:00 - 07.01.2023 08:00","25.00","","","","25.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 08:00 - 07.01.2023 09:00","35.53","","","","35.53","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 09:00 - 07.01.2023 10:00","120.00","","","","120.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 10:00 - 07.01.2023 11:00","128.00","","","","128.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 11:00 - 07.01.2023 12:00","119.00","","","","119.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 12:00 - 07.01.2023 13:00","119.00","","","","119.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 13:00 - 07.01.2023 14:00","107.00","","","","107.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 14:00 - 07.01.2023 15:00","98.00","","","","98.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 15:00 - 07.01.2023 16:00","98.00","","","","98.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 16:00 - 07.01.2023 17:00","120.00","","","","120.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 17:00 - 07.01.2023 18:00","123.00","","","","123.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 18:00 - 07.01.2023 19:00","132.00","","","","132.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 19:00 - 07.01.2023 20:00","127.00","","","","127.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 20:00 - 07.01.2023 21:00","97.16","","","","97.16","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 21:00 - 07.01.2023 22:00","97.16","","","","97.16","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 22:00 - 07.01.2023 23:00","85.00","","","","85.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"07.01.2023 23:00 - 08.01.2023 00:00","23.38","","","","23.38","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 00:00 - 08.01.2023 01:00","30.00","","","","30.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"08.01.2023 01:00 - 08.01.2023 02:00","30.00","","","","30.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
